"rank","business_name","review_count","categories","rating","address","price_range","url","phone"
"1","Paper Plus","130","Party Supplies,Party Equipment Rentals,Balloon Services","4","1629 San Pablo Ave West Berkeley","","https://www.yelp.com/biz/paper-plus-berkeley-3?osq=balloon","(510) 525-1799"
"2","Craig’s Party Store","35","Party Supplies","4","15 Dodie St ","","https://www.yelp.com/biz/craigs-party-store-san-rafael?osq=balloon","(415) 456-5090"
"3","Balloons Above the Valley","347","Hot Air Balloons,Aerial Tours","4.5","603 California Blvd ","","https://www.yelp.com/biz/balloons-above-the-valley-napa?osq=balloon","(707) 253-2222"
"4","Sparky’s Balloons","120","Balloon Services","4.5","115 Clement St Inner Richmond","","https://www.yelp.com/biz/sparkys-balloons-san-francisco-6?osq=balloon","(415) 484-1184"
"5","Balloons By Design","21","Holiday Decorating Services,Balloon Services","5"," ","","https://www.yelp.com/biz/balloons-by-design-san-rafael-2?osq=balloon","(415) 479-1270"
"6","Balloon Delights","25","Balloon Services","2.5","1125 Magnolia Ave ","","https://www.yelp.com/biz/balloon-delights-larkspur?osq=balloon","(415) 461-8119"
"7","Air Lollipops","76","Party Supplies,Party &amp; Event Planning,Balloon Services","4.5","206A School St ","","https://www.yelp.com/biz/air-lollipops-daly-city-2?osq=balloon","(650) 784-3584"
"8","Bay Area Balloon","23","Balloon Services","5","7276 Sedgefield Ave ","","https://www.yelp.com/biz/bay-area-balloon-san-ramon?osq=balloon","(925) 364-5498"
"9","SF Party","211","Party Supplies,Costumes,Balloon Services","4","939 Post St Lower Nob Hill","$$","https://www.yelp.com/biz/sf-party-san-francisco-2?osq=balloon","(415) 931-9393"
"10","Balloon Works by Mary R.","72","Party &amp; Event Planning,Party Supplies","5"," ","","https://www.yelp.com/biz/balloon-works-by-mary-r-vallejo-2?osq=balloon","(925) 297-4561"
"11","Napa Valley Balloons","205","Hot Air Balloons","4.5","4086 Byway E ","","https://www.yelp.com/biz/napa-valley-balloons-napa?osq=balloon","(707) 944-0228"
"12","Balloon Mania","5","Balloon Services","5"," ","","https://www.yelp.com/biz/balloon-mania-alameda?osq=balloon","(510) 522-5808"
"13","All Ways Balloons","21","Balloon Services","5","951-2 Old County Rd ","","https://www.yelp.com/biz/all-ways-balloons-belmont?osq=balloon","(650) 595-4438"
"14","The Balloon Lady","61","Balloon Services","4","750 24th St Potrero Hill","","https://www.yelp.com/biz/the-balloon-lady-san-francisco-2?osq=balloon","(415) 864-3737"
"15","Ann’s Flowers &amp; Balloons","129","Florists,Balloon Services,Gift Shops","5","915 Geary St Tenderloin","$","https://www.yelp.com/biz/anns-flowers-and-balloons-san-francisco?osq=balloon","(415) 202-0572"
"16","Super Balloons Plus","12","Balloon Services","4"," ","","https://www.yelp.com/biz/super-balloons-plus-brentwood?osq=balloon","(925) 634-2000"
"17","Pippa &amp; Co","6","Party Supplies","4.5","2935 College Ave Elmwood","","https://www.yelp.com/biz/pippa-and-co-berkeley-3?osq=balloon","(510) 561-8408"
"18","Balloons Decor","16","Balloon Services","5"," SoMa","","https://www.yelp.com/biz/balloons-decor-bay-area-3?osq=balloon","(415) 509-1834"
"19","Cute Balloons","6","Balloon Services","4"," ","","https://www.yelp.com/biz/cute-balloons-san-bruno?osq=balloon","(650) 834-2984"
"20","Helium Heaven","38","Party Supplies","4.5"," ","","https://www.yelp.com/biz/helium-heaven-san-lorenzo?osq=balloon","(510) 566-7729"
"21","BalloonStar","12","Balloon Services","5"," ","","https://www.yelp.com/biz/balloonstar-concord?osq=balloon","(925) 890-3231"
"22","The Balloon Man","24","Balloon Services","5","1942 Mt Diablo Blvd ","","https://www.yelp.com/biz/the-balloon-man-walnut-creek?osq=balloon","(925) 934-3186"
"23","Party4Less","14","Party Supplies,Party Equipment Rentals","3.5","496 San Mateo Ave ","","https://www.yelp.com/biz/party4less-san-bruno?osq=balloon","(650) 589-3375"
"24","Sweet Celebrations","44","Party Supplies","4","730 Camino Ramon ","","https://www.yelp.com/biz/sweet-celebrations-danville-4?osq=balloon","(925) 855-4640"
"25","Play-Well","39","Party &amp; Event Planning,Summer Camps,Tutoring Centers","4","216 Greenfield Ave ","","https://www.yelp.com/biz/play-well-san-anselmo?osq=balloon","(415) 460-5210"
"26","Balloons By The Bay","5","Balloon Services","4","2049 Polk St Nob Hill","","https://www.yelp.com/biz/balloons-by-the-bay-san-francisco?osq=balloon","(415) 474-6427"
"27","Party Heaven","42","Party Supplies,Costumes,Gift Shops","3.5","2333 Telegraph Ave Telegraph Ave","$$","https://www.yelp.com/biz/party-heaven-berkeley?osq=balloon","(510) 540-7914"
"28","Alexis Party World","21","Party Supplies","4","4701 International Blvd East Oakland","","https://www.yelp.com/biz/alexis-party-world-oakland?osq=balloon","(510) 534-3514"
"29","Lifted Balloons","1","Balloon Services","5","723 Alhambra Ave ","","https://www.yelp.com/biz/lifted-balloons-martinez?osq=balloon","(925) 389-2775"
"30","Balloonville","4","Balloon Services","5","3079 Danielle Ln ","","https://www.yelp.com/biz/balloonville-livermore?osq=balloon","(925) 373-1600"
"31","Craig’s Party Store","22","Party Supplies","4","1110 Petaluma Blvd N ","","https://www.yelp.com/biz/craigs-party-store-petaluma?osq=balloon","(707) 789-0211"
