"rank","business_name","review_count","categories","rating","address","price_range","url","phone"
"1","Jane Hammond Events","91","Caterers,Wedding Planning,Party &amp; Event Planning","5"," ","","https://www.yelp.com/biz/jane-hammond-events-san-francisco?osq=eventplaner","(415) 822-0310"
"2","Event Solutions","53","Party &amp; Event Planning,Wedding Planning","5"," Financial District","","https://www.yelp.com/biz/event-solutions-san-francisco?osq=eventplaner","(415) 816-5555"
"3","Events By Collette","14","Party &amp; Event Planning,Wedding Planning","5"," Diamond Heights","","https://www.yelp.com/biz/events-by-collette-san-francisco?osq=eventplaner","(415) 860-3211"
"4","Flair Event Design &amp; Planning","11","Party &amp; Event Planning","5"," Outer Richmond","","https://www.yelp.com/biz/flair-event-design-and-planning-san-francisco-4?osq=eventplaner",""
"5","Alison Events","21","Party &amp; Event Planning,Travel Services","5","491 Gate Five Rd ","","https://www.yelp.com/biz/alison-events-sausalito-2?osq=eventplaner","(415) 567-7605"
"6","Dreams On A Dime Events &amp; Weddings","188","Party &amp; Event Planning,Wedding Planning","5","West Portal West Portal","","https://www.yelp.com/biz/dreams-on-a-dime-events-and-weddings-san-francisco?osq=eventplaner","(415) 264-2764"
"7","Main St. Floragardens","28","Florists,Wedding Planning","5"," ","$$","https://www.yelp.com/biz/main-st-floragardens-san-anselmo?osq=eventplaner","(415) 485-2996"
"8","Ashley Smith Events","20","Wedding Planning,Party &amp; Event Planning","5"," Mission","","https://www.yelp.com/biz/ashley-smith-events-san-francisco?osq=eventplaner","(415) 246-4729"
"9","Peridot Events","14","Party &amp; Event Planning,Wedding Planning","5"," ","","https://www.yelp.com/biz/peridot-events-fairfax-3?osq=eventplaner","(510) 410-7651"
"10","Shine Event Productions","18","Party &amp; Event Planning,Wedding Planning","5"," Downtown Oakland","","https://www.yelp.com/biz/shine-event-productions-oakland?osq=eventplaner","(510) 798-0519"
"11","Urbanity Events","5","Party &amp; Event Planning","5"," Lower Pacific Heights","","https://www.yelp.com/biz/urbanity-events-san-francisco?osq=eventplaner","(415) 857-2479"
"12","Erica Events","16","Party &amp; Event Planning","5"," Nob Hill","","https://www.yelp.com/biz/erica-events-san-francisco?osq=eventplaner","(415) 683-0447"
"13","ETC. Events","13","Party &amp; Event Planning","5"," SoMa","","https://www.yelp.com/biz/etc-events-san-francisco?osq=eventplaner","(415) 990-5628"
"14","Tickled Events","76","Wedding Planning","5"," Financial District","","https://www.yelp.com/biz/tickled-events-san-francisco-bay-area?osq=eventplaner","(510) 501-8949"
"15","Sydney Camille Events","25","Wedding Planning,Party &amp; Event Planning","5","9 Mariners Cir ","","https://www.yelp.com/biz/sydney-camille-events-san-rafael?osq=eventplaner","(707) 299-9096"
"16","LUX Premier Events &amp; Concierge","39","Party &amp; Event Planning,Wedding Planning","5","189 3rd St ","","https://www.yelp.com/biz/lux-premier-events-and-concierge-oakland?osq=eventplaner","(510) 550-5895"
"17","Boutique Events","24","Party &amp; Event Planning,Wedding Planning","5"," Noe Valley","","https://www.yelp.com/biz/boutique-events-san-francisco?osq=eventplaner","(650) 533-1905"
"18","Parties On Point San Francisco","5","Party &amp; Event Planning","5","1 Blackfield Dr ","","https://www.yelp.com/biz/parties-on-point-san-francisco-tiburon?osq=eventplaner","(510) 912-9333"
"19","Stellify Events","101","Wedding Planning,Party &amp; Event Planning","5"," Civic Center","","https://www.yelp.com/biz/stellify-events-san-francisco?osq=eventplaner",""
"20","Hand and Heart Event Design","8","Party &amp; Event Planning,Wedding Planning","5","1285 45th Ave Outer Sunset","","https://www.yelp.com/biz/hand-and-heart-event-design-san-francisco-2?osq=eventplaner","(858) 722-5852"
"21","Sunshine Events","3","Party &amp; Event Planning","4.5"," The Haight","","https://www.yelp.com/biz/sunshine-events-san-francisco-5?osq=eventplaner","(415) 678-6647"
"22","Lily Spruce","56","Wedding Planning,Party &amp; Event Planning","5","18TH St Mission","","https://www.yelp.com/biz/lily-spruce-san-francisco?osq=eventplaner","(415) 265-6205"
"23","Downey Street Events","45","Party &amp; Event Planning,Wedding Planning","5","3366 Sacramento St Presidio Heights","","https://www.yelp.com/biz/downey-street-events-san-francisco?osq=eventplaner","(415) 505-6745"
