"rank","business_name","review_count","categories","rating","address","price_range","url","phone"
"1","Craig’s Party Store","35","Party Supplies","4","15 Dodie St ","","https://www.yelp.com/biz/craigs-party-store-san-rafael?osq=partysupplies","(415) 456-5090"
"2","Paper Plus","130","Party Supplies,Party Equipment Rentals,Balloon Services","4","1629 San Pablo Ave West Berkeley","","https://www.yelp.com/biz/paper-plus-berkeley-3?osq=partysupplies","(510) 525-1799"
"3","SF Party","211","Party Supplies,Costumes,Balloon Services","4","939 Post St Lower Nob Hill","$$","https://www.yelp.com/biz/sf-party-san-francisco-2?osq=partysupplies","(415) 931-9393"
"4","A Party Center","27","Party Supplies","4.5","824 Francisco Blvd W ","","https://www.yelp.com/biz/a-party-center-san-rafael?osq=partysupplies","(415) 456-5970"
"5","Fantastico","130","Party Supplies,Costumes,Holiday Decorations","4","559 6th St Mission Bay","$$","https://www.yelp.com/biz/fantastico-san-francisco?osq=partysupplies","(415) 636-6689"
"6","Party Heaven","42","Party Supplies,Costumes,Gift Shops","3.5","2333 Telegraph Ave Telegraph Ave","$$","https://www.yelp.com/biz/party-heaven-berkeley?osq=partysupplies","(510) 540-7914"
"7","Sparky’s Balloons","120","Balloon Services","4.5","115 Clement St Inner Richmond","","https://www.yelp.com/biz/sparkys-balloons-san-francisco-6?osq=partysupplies","(415) 484-1184"
"8","Diddams","29","Toy Stores,Party Supplies,Costumes","3","468 Westlake Ctr ","$$","https://www.yelp.com/biz/diddams-daly-city?osq=partysupplies","(650) 756-5050"
"9","Party4Less","14","Party Supplies,Party Equipment Rentals","3.5","496 San Mateo Ave ","","https://www.yelp.com/biz/party4less-san-bruno?osq=partysupplies","(650) 589-3375"
"10","Pippa &amp; Co","6","Party Supplies","4.5","2935 College Ave Elmwood","","https://www.yelp.com/biz/pippa-and-co-berkeley-3?osq=partysupplies","(510) 561-8408"
"11","Diddams","93","Party Supplies,Costumes","3","1940 S El Camino Real ","$$","https://www.yelp.com/biz/diddams-san-mateo-2?osq=partysupplies","(650) 235-8448"
"12","City Store","4","Wholesale Stores,Department Stores","4.5","2219 Clement St Outer Richmond","$","https://www.yelp.com/biz/city-store-san-francisco?osq=partysupplies","(415) 810-1378"
"13","Party City","74","Party Supplies,Toy Stores,Costumes","3","1685 Bryant St Mission","$$","https://www.yelp.com/biz/party-city-san-francisco?osq=partysupplies","(415) 553-8193"
"14","Letty’s Party Supply &amp; Craft Depot","6","Party Supplies","5","14317 San Pablo Ave ","","https://www.yelp.com/biz/lettys-party-supply-and-craft-depot-san-pablo?osq=partysupplies","(510) 232-0234"
"15","Party Fever","56","Party &amp; Event Planning,Party Supplies,Party Equipment Rentals","4","1343 Jacklin Rd ","","https://www.yelp.com/biz/party-fever-milpitas-4?osq=partysupplies","(408) 649-3870"
"16","Alexis Party World","21","Party Supplies","4","4701 International Blvd East Oakland","","https://www.yelp.com/biz/alexis-party-world-oakland?osq=partysupplies","(510) 534-3514"
"17","Fiesta Jump","13","Party Supplies,Party Equipment Rentals","4","1607 23rd St ","","https://www.yelp.com/biz/fiesta-jump-san-pablo?osq=partysupplies","(510) 235-1899"
"18","Diddams","116","Party Supplies,Costumes,Toy Stores","4","1952 W El Camino Real ","$$","https://www.yelp.com/biz/diddams-mountain-view-2?osq=partysupplies","(650) 965-0138"
"19","Sweet Celebrations","44","Party Supplies","4","730 Camino Ramon ","","https://www.yelp.com/biz/sweet-celebrations-danville-4?osq=partysupplies","(925) 855-4640"
"20","One Stop Party Shop","45","Party Supplies,Costumes,Wigs","4","1600 Church St Noe Valley","$$","https://www.yelp.com/biz/one-stop-party-shop-san-francisco?osq=partysupplies","(415) 824-0414"
"21","Party Time Party Supplies","32","Party Supplies,Party Equipment Rentals","3.5","22257 Mission Blvd ","","https://www.yelp.com/biz/party-time-party-supplies-hayward?osq=partysupplies","(510) 538-2164"
"22","Boswell’s Party Supplies","84","Party Supplies,Costumes,Party Equipment Rentals","3","1901 Camino Ramon ","$$","https://www.yelp.com/biz/boswells-party-supplies-danville?osq=partysupplies","(925) 866-1644"
"23","Party City - Rosewood Drive","133","Party Supplies,Costumes","2.5","4575 Rosewood Dr ","$$","https://www.yelp.com/biz/party-city-rosewood-drive-dublin?osq=partysupplies","(925) 556-6141"
"24","Craig’s Party Store","22","Party Supplies","4","1110 Petaluma Blvd N ","","https://www.yelp.com/biz/craigs-party-store-petaluma?osq=partysupplies","(707) 789-0211"
"25","Party City","79","Party Supplies,Costumes","2","545 Contra Costa Blvd ","$$$","https://www.yelp.com/biz/party-city-pleasant-hill-2?osq=partysupplies","(925) 685-3500"
"26","Party City","41","Party Supplies,Holiday Decorations,Costumes","2.5","3500 Klose Way ","$$","https://www.yelp.com/biz/party-city-richmond-2?osq=partysupplies","(510) 222-9880"
"27","Partyland","18","Party Supplies","4","136 Maple St ","","https://www.yelp.com/biz/partyland-livermore?osq=partysupplies","(925) 292-4844"
"28","Stacey &amp; Company","6","Party &amp; Event Planning,Party Supplies,Wedding Planning","5","121 San Anselmo Ave ","","https://www.yelp.com/biz/stacey-and-company-san-anselmo-2?osq=partysupplies","(415) 913-9229"
"29","Bay Party Store","6","Costumes,Party Supplies","5","10700 Macarthur Blvd East Oakland","$","https://www.yelp.com/biz/bay-party-store-oakland?osq=partysupplies","(510) 878-7032"
"30","Air Lollipops","76","Party Supplies,Party &amp; Event Planning,Balloon Services","4.5","206A School St ","","https://www.yelp.com/biz/air-lollipops-daly-city-2?osq=partysupplies","(650) 784-3584"
"31","Nikki’s Party Supply &amp; Rentals","25","Party Supplies","3","14309 E 14th St ","","https://www.yelp.com/biz/nikkis-party-supply-and-rentals-san-leandro?osq=partysupplies","(510) 969-8593"
"32","Discount City","41","Discount Store","3.5","1440 Webster St ","$","https://www.yelp.com/biz/discount-city-alameda?osq=partysupplies","(510) 521-7900"
"33","Union Street Papery","81","Cards &amp; Stationery","4","2166 Union St Marina/Cow Hollow","$$","https://www.yelp.com/biz/union-street-papery-san-francisco?osq=partysupplies","(415) 563-0200"
"34","Party City","23","Costumes,Toy Stores,Party Supplies","2.5","2251 S Shore Ctr ","$$$","https://www.yelp.com/biz/party-city-alameda?osq=partysupplies","(510) 769-4826"
"35","Dollar Daze Plus","15","Party Supplies,Cards &amp; Stationery","3","4492 Treat Blvd ","$","https://www.yelp.com/biz/dollar-daze-plus-concord-2?osq=partysupplies","(925) 681-2888"
"36","Party City","38","Costumes,Party Supplies,Toy Stores","2","151B Serramonte Ctr ","$$","https://www.yelp.com/biz/party-city-daly-city-2?osq=partysupplies","(650) 757-1109"
"37","Dollar Plus &amp; Party Supplies","1","Discount Store,Party Supplies","4","5201 Sonoma Blvd ","","https://www.yelp.com/biz/dollar-plus-and-party-supplies-vallejo-2?osq=partysupplies","(707) 642-4200"
"38","Party City","61","Party Supplies","2.5","1289 Veterans Blvd ","","https://www.yelp.com/biz/party-city-redwood-city-2?osq=partysupplies","(650) 363-8824"
"39","Dana’s Event Boutique And Florist","11","Party Supplies,Florists,Custom Cakes","4.5","20641 Rustic Dr ","","https://www.yelp.com/biz/danas-event-boutique-and-florist-castro-valley?osq=partysupplies","(510) 733-3121"
"40","Fiesta Party Supplies","4","Party Supplies","4","528 Broadway St ","","https://www.yelp.com/biz/fiesta-party-supplies-vallejo?osq=partysupplies","(707) 552-2500"
"41","C &amp; M Party","71","Party Supplies,Party Equipment Rentals,Party &amp; Event Planning","4","1942 Mt Diablo Blvd ","","https://www.yelp.com/biz/c-and-m-party-walnut-creek?osq=partysupplies","(925) 239-2196"
"42","Artist &amp; Craftsman Supply","101","Art Supplies,Toy Stores,Hobby Shops","4.5","2573 Shattuck Ave South Berkeley","$$","https://www.yelp.com/biz/artist-and-craftsman-supply-berkeley-3?osq=partysupplies","(510) 704-4040"
"43","Balloon Delights","25","Balloon Services","2.5","1125 Magnolia Ave ","","https://www.yelp.com/biz/balloon-delights-larkspur?osq=partysupplies","(415) 461-8119"
"44","Rg’s Discount Party Store","0","Party Supplies,Balloon Services,Props","0","605 Tennessee St ","","https://www.yelp.com/biz/rgs-discount-party-store-vallejo?osq=partysupplies","(707) 731-2025"
"45","Confettis party’s supply and more","2","Party Supplies,Balloon Services,Art Supplies","3","120 South Blvd ","","https://www.yelp.com/biz/confettis-party-s-supply-and-more-san-mateo?osq=partysupplies","(650) 357-0010"
"46","Diddams","81","Party Supplies,Costumes,Toy Stores","3","700 Laurel St ","$$","https://www.yelp.com/biz/diddams-san-carlos-2?osq=partysupplies","(650) 802-0600"
"47","Balloons By Design","21","Holiday Decorating Services,Balloon Services","5"," ","","https://www.yelp.com/biz/balloons-by-design-san-rafael-2?osq=partysupplies","(415) 479-1270"
"48","Dulceria La Rosa","5","Candy Stores,Party Supplies,Party Equipment Rentals","4.5","3606 International Blvd Fruitvale","$","https://www.yelp.com/biz/dulceria-la-rosa-oakland-2?osq=partysupplies","(510) 261-3346"
"49","Party City","96","Party Supplies,Costumes,Toy Stores","2.5","15584 Hesperian Blvd ","$$","https://www.yelp.com/biz/party-city-san-lorenzo?osq=partysupplies","(510) 481-5882"
"50","Blinkee","10","Party Supplies","4.5","769 Center Blvd ","","https://www.yelp.com/biz/blinkee-fairfax-2?osq=partysupplies","(415) 261-0675"
"51","Cliff’s Variety","524","Hardware Stores,Home Decor,Fabric Stores","4.5","479 Castro St Castro","$$","https://www.yelp.com/biz/cliffs-variety-san-francisco?osq=partysupplies","(415) 212-8400"
"52","Floral Supply Syndicate","10","Arts &amp; Crafts,Home Decor,Balloon Services","4","670 Brannan St Mission Bay","$","https://www.yelp.com/biz/floral-supply-syndicate-san-francisco?osq=partysupplies","(415) 986-5443"
"53","La Raza Party Supplies","4","Party Supplies","2","1600 Rumrill Blvd ","","https://www.yelp.com/biz/la-raza-party-supplies-san-pablo?osq=partysupplies","(510) 620-9348"
"54","The Cotton Candy Girl","1","Party Supplies","5"," ","","https://www.yelp.com/biz/the-cotton-candy-girl-kentfield?osq=partysupplies","(415) 464-7056"
"55","SF Balloon Magic","42","Party Supplies","5","1258 Fitzgerald Ave Bayview-Hunters Point","","https://www.yelp.com/biz/sf-balloon-magic-san-francisco?osq=partysupplies","(415) 970-3317"
"56","Hernandez Party Rentals","12","Party Equipment Rentals,Personal Chefs,Caterers","4"," ","","https://www.yelp.com/biz/hernandez-party-rentals-san-pablo-2?osq=partysupplies","(415) 734-0777"
"57","Sausalito Stationery","5","Cards &amp; Stationery","5","110 Caledonia St ","$$","https://www.yelp.com/biz/sausalito-stationery-sausalito?osq=partysupplies","(415) 324-7150"
"58","Paper Source","126","Cards &amp; Stationery,Gift Shops","4","2061 Chestnut St Marina/Cow Hollow","$$","https://www.yelp.com/biz/paper-source-san-francisco-2?osq=partysupplies","(415) 614-1585"
"59","99 Cents Only","62","Discount Store,Party Supplies","3.5","1941 San Pablo Ave West Berkeley","$","https://www.yelp.com/biz/99-cents-only-berkeley?osq=partysupplies","(510) 704-1799"
